Service Type,Prefix,Number Length,From,To,Status,Quantity,Allocatee,Allocation Date,Latest Holder,Latest Transfer Date,Current EROU holder,EROU assignment date,Numbering Area
Local rate,133,6,133397,133397,Spare,1,,,,,,,
Local rate,133,6,133400,133409,Spare,10,,,,,,,
Local rate,133,6,133411,133419,Spare,9,,,,,,,
Local rate,133,6,133421,133421,Spare,1,,,,,,,
Local rate,133,6,133424,133424,Spare,1,,,,,,,
Local rate,133,6,133426,133426,Spare,1,,,,,,,
Local rate,133,6,133428,133431,Spare,4,,,,,,,
Local rate,133,6,133435,133435,Spare,1,,,,,,,
Local rate,133,6,133437,133437,Spare,1,,,,,,,
Local rate,133,6,133439,133440,Spare,2,,,,,,,
Local rate,133,6,133442,133443,Spare,2,,,,,,,
Local rate,133,6,133445,133453,Spare,9,,,,,,,
Local rate,133,6,133455,133455,Spare,1,,,,,,,
Local rate,133,6,133457,133457,Spare,1,,,,,,,
Local rate,133,6,133459,133461,Spare,3,,,,,,,
Local rate,133,6,133463,133463,Spare,1,,,,,,,
Local rate,133,6,133465,133465,Spare,1,,,,,,,
Local rate,133,6,133467,133471,Spare,5,,,,,,,
Local rate,133,6,133475,133476,Spare,2,,,,,,,
Local rate,133,6,133478,133480,Spare,3,,,,,,,
Local rate,133,6,133484,133485,Spare,2,,,,,,,
Local rate,133,6,133487,133492,Spare,6,,,,,,,
Local rate,133,6,133495,133497,Spare,3,,,,,,,
Local rate,133,6,133499,133499,Spare,1,,,,,,,
Local rate,133,6,133501,133501,Spare,1,,,,,,,
Local rate,133,6,133503,133510,Spare,8,,,,,,,
Local rate,133,6,133512,133512,Spare,1,,,,,,,
Local rate,133,6,133514,133522,Spare,9,,,,,,,
Local rate,133,6,133524,133527,Spare,4,,,,,,,
Local rate,133,6,133530,133531,Spare,2,,,,,,,
Local rate,133,6,133534,133534,Spare,1,,,,,,,
Local rate,133,6,133537,133541,Spare,5,,,,,,,
Local rate,133,6,133543,133543,Spare,1,,,,,,,
Local rate,133,6,133545,133545,Spare,1,,,,,,,
Local rate,133,6,133547,133547,Spare,1,,,,,,,
Local rate,133,6,133549,133549,Spare,1,,,,,,,
Local rate,133,6,133555,133555,Spare,1,,,,,,,
Local rate,133,6,133558,133565,Spare,8,,,,,,,
Local rate,133,6,133568,133568,Spare,1,,,,,,,
Local rate,133,6,133570,133573,Spare,4,,,,,,,
Local rate,133,6,133575,133577,Spare,3,,,,,,,
Local rate,133,6,133579,133584,Spare,6,,,,,,,
Local rate,133,6,133586,133587,Spare,2,,,,,,,
Local rate,133,6,133590,133599,Spare,10,,,,,,,
Local rate,133,6,133601,133602,Spare,2,,,,,,,
Local rate,133,6,133604,133609,Spare,6,,,,,,,
Local rate,133,6,133611,133612,Spare,2,,,,,,,
Local rate,133,6,133614,133619,Spare,6,,,,,,,
Local rate,133,6,133621,133621,Spare,1,,,,,,,
Local rate,133,6,133624,133624,Spare,1,,,,,,,
Local rate,133,6,133631,133635,Spare,5,,,,,,,
Local rate,133,6,133639,133639,Spare,1,,,,,,,
Local rate,133,6,133641,133641,Spare,1,,,,,,,
Local rate,133,6,133643,133645,Spare,3,,,,,,,
Local rate,133,6,133648,133651,Spare,4,,,,,,,
Local rate,133,6,133653,133653,Spare,1,,,,,,,
Local rate,133,6,133657,133662,Spare,6,,,,,,,
Local rate,133,6,133670,133671,Spare,2,,,,,,,
Local rate,133,6,133674,133674,Spare,1,,,,,,,
Local rate,133,6,133676,133676,Spare,1,,,,,,,
Local rate,133,6,133679,133681,Spare,3,,,,,,,
Local rate,133,6,133683,133683,Spare,1,,,,,,,
Local rate,133,6,133685,133685,Spare,1,,,,,,,
Local rate,133,6,133688,133691,Spare,4,,,,,,,
Local rate,133,6,133694,133696,Spare,3,,,,,,,
Local rate,133,6,133701,133701,Spare,1,,,,,,,
Local rate,133,6,133703,133706,Spare,4,,,,,,,
Local rate,133,6,133708,133712,Spare,5,,,,,,,
Local rate,133,6,133714,133717,Spare,4,,,,,,,
Local rate,133,6,133719,133721,Spare,3,,,,,,,
Local rate,133,6,133724,133725,Spare,2,,,,,,,
Local rate,133,6,133730,133730,Spare,1,,,,,,,
Local rate,133,6,133735,133738,Spare,4,,,,,,,
Local rate,133,6,133740,133741,Spare,2,,,,,,,
Local rate,133,6,133744,133744,Spare,1,,,,,,,
Local rate,133,6,133746,133747,Spare,2,,,,,,,
Local rate,133,6,133749,133749,Spare,1,,,,,,,
Local rate,133,6,133751,133751,Spare,1,,,,,,,
Local rate,133,6,133753,133757,Spare,5,,,,,,,
Local rate,133,6,133759,133762,Spare,4,,,,,,,
Local rate,133,6,133765,133766,Spare,2,,,,,,,
Local rate,133,6,133771,133771,Spare,1,,,,,,,
Local rate,133,6,133774,133775,Spare,2,,,,,,,
Local rate,133,6,133780,133781,Spare,2,,,,,,,
Local rate,133,6,133785,133785,Spare,1,,,,,,,
Local rate,133,6,133787,133787,Spare,1,,,,,,,
Local rate,133,6,133789,133792,Spare,4,,,,,,,
Local rate,133,6,133794,133797,Spare,4,,,,,,,
Local rate,133,6,133799,133799,Spare,1,,,,,,,
Local rate,133,6,133801,133802,Spare,2,,,,,,,
Local rate,133,6,133804,133821,Spare,18,,,,,,,
Local rate,133,6,133823,133823,Spare,1,,,,,,,
Local rate,133,6,133826,133826,Spare,1,,,,,,,
Local rate,133,6,133830,133834,Spare,5,,,,,,,
Local rate,133,6,133840,133841,Spare,2,,,,,,,
Local rate,133,6,133843,133846,Spare,4,,,,,,,
Local rate,133,6,133848,133851,Spare,4,,,,,,,
Local rate,133,6,133853,133861,Spare,9,,,,,,,
Local rate,133,6,133865,133865,Spare,1,,,,,,,
Local rate,133,6,133867,133868,Spare,2,,,,,,,
Local rate,133,6,133870,133871,Spare,2,,,,,,,
Local rate,133,6,133874,133875,Spare,2,,,,,,,
Local rate,133,6,133879,133881,Spare,3,,,,,,,
Local rate,133,6,133883,133884,Spare,2,,,,,,,
Local rate,133,6,133886,133887,Spare,2,,,,,,,
Local rate,133,6,133889,133889,Spare,1,,,,,,,
Local rate,133,6,133891,133899,Spare,9,,,,,,,
Local rate,133,6,133901,133907,Spare,7,,,,,,,
Local rate,133,6,133909,133910,Spare,2,,,,,,,
Local rate,133,6,133912,133913,Spare,2,,,,,,,
Local rate,133,6,133915,133915,Spare,1,,,,,,,
Local rate,133,6,133917,133920,Spare,4,,,,,,,
Local rate,133,6,133922,133925,Spare,4,,,,,,,
Local rate,133,6,133928,133932,Spare,5,,,,,,,
Local rate,133,6,133934,133934,Spare,1,,,,,,,
Local rate,133,6,133939,133943,Spare,5,,,,,,,
Local rate,133,6,133945,133945,Spare,1,,,,,,,
Local rate,133,6,133947,133963,Spare,17,,,,,,,
Local rate,133,6,133965,133965,Spare,1,,,,,,,
Local rate,133,6,133967,133972,Spare,6,,,,,,,
Local rate,133,6,133975,133975,Spare,1,,,,,,,
Local rate,133,6,133978,133978,Spare,1,,,,,,,
Local rate,133,6,133980,133981,Spare,2,,,,,,,
Local rate,133,6,133983,133986,Spare,4,,,,,,,
Local rate,133,6,133988,133994,Spare,7,,,,,,,
Local rate,133,6,133996,133998,Spare,3,,,,,,,
Local rate,135,6,135003,135004,Spare,2,,,,,,,
Local rate,135,6,135006,135006,Spare,1,,,,,,,
Local rate,135,6,135008,135012,Spare,5,,,,,,,
Local rate,135,6,135014,135036,Spare,23,,,,,,,
Local rate,135,6,135038,135049,Spare,12,,,,,,,
Local rate,135,6,135051,135059,Spare,9,,,,,,,
Local rate,135,6,135061,135074,Spare,14,,,,,,,
Local rate,135,6,135077,135087,Spare,11,,,,,,,
Local rate,135,6,135089,135095,Spare,7,,,,,,,
Local rate,135,6,135097,135108,Spare,12,,,,,,,
Local rate,135,6,135110,135111,Spare,2,,,,,,,
Local rate,135,6,135113,135134,Spare,22,,,,,,,
Local rate,135,6,135136,135152,Spare,17,,,,,,,
Local rate,135,6,135154,135182,Spare,29,,,,,,,
Local rate,135,6,135184,135207,Spare,24,,,,,,,
Local rate,135,6,135209,135223,Spare,15,,,,,,,
Local rate,135,6,135225,135225,Spare,1,,,,,,,
Local rate,135,6,135229,135231,Spare,3,,,,,,,
Local rate,135,6,135233,135236,Spare,4,,,,,,,
Local rate,135,6,135239,135243,Spare,5,,,,,,,
Local rate,135,6,135248,135252,Spare,5,,,,,,,
Local rate,135,6,135254,135258,Spare,5,,,,,,,
Local rate,135,6,135260,135262,Spare,3,,,,,,,
Local rate,135,6,135265,135267,Spare,3,,,,,,,
Local rate,135,6,135269,135271,Spare,3,,,,,,,
Local rate,135,6,135275,135277,Spare,3,,,,,,,
Local rate,135,6,135279,135281,Spare,3,,,,,,,
Local rate,135,6,135283,135295,Spare,13,,,,,,,
Local rate,135,6,135297,135312,Spare,16,,,,,,,
Local rate,135,6,135314,135322,Spare,9,,,,,,,
Local rate,135,6,135324,135324,Spare,1,,,,,,,
Local rate,135,6,135329,135337,Spare,9,,,,,,,
Local rate,135,6,135339,135341,Spare,3,,,,,,,
Local rate,135,6,135343,135352,Spare,10,,,,,,,
Local rate,135,6,135354,135354,Spare,1,,,,,,,
Local rate,135,6,135356,135358,Spare,3,,,,,,,
Local rate,135,6,135360,135362,Spare,3,,,,,,,
Local rate,135,6,135364,135365,Spare,2,,,,,,,
Local rate,135,6,135370,135377,Spare,8,,,,,,,
Local rate,135,6,135379,135380,Spare,2,,,,,,,
Local rate,135,6,135382,135383,Spare,2,,,,,,,
Local rate,135,6,135385,135388,Spare,4,,,,,,,
Local rate,135,6,135390,135396,Spare,7,,,,,,,
Local rate,135,6,135399,135402,Spare,4,,,,,,,
Local rate,135,6,135404,135422,Spare,19,,,,,,,
Local rate,135,6,135424,135426,Spare,3,,,,,,,
Local rate,135,6,135428,135432,Spare,5,,,,,,,
Local rate,135,6,135434,135436,Spare,3,,,,,,,
Local rate,135,6,135438,135443,Spare,6,,,,,,,
Local rate,135,6,135445,135446,Spare,2,,,,,,,
Local rate,135,6,135448,135458,Spare,11,,,,,,,
Local rate,135,6,135460,135462,Spare,3,,,,,,,
Local rate,135,6,135468,135477,Spare,10,,,,,,,
Local rate,135,6,135479,135481,Spare,3,,,,,,,
Local rate,135,6,135485,135486,Spare,2,,,,,,,
Local rate,135,6,135489,135509,Spare,21,,,,,,,
Local rate,135,6,135511,135512,Spare,2,,,,,,,
Local rate,135,6,135514,135521,Spare,8,,,,,,,
Local rate,135,6,135523,135525,Spare,3,,,,,,,
Local rate,135,6,135527,135528,Spare,2,,,,,,,
Local rate,135,6,135530,135530,Spare,1,,,,,,,
Local rate,135,6,135532,135539,Spare,8,,,,,,,
Local rate,135,6,135541,135543,Spare,3,,,,,,,
Local rate,135,6,135546,135551,Spare,6,,,,,,,
Local rate,135,6,135553,135554,Spare,2,,,,,,,
Local rate,135,6,135556,135564,Spare,9,,,,,,,
Local rate,135,6,135567,135571,Spare,5,,,,,,,
Local rate,135,6,135573,135573,Spare,1,,,,,,,
Local rate,135,6,135575,135599,Spare,25,,,,,,,
Local rate,135,6,135601,135606,Spare,6,,,,,,,
Local rate,135,6,135608,135621,Spare,14,,,,,,,
Local rate,135,6,135623,135623,Spare,1,,,,,,,
Local rate,135,6,135627,135627,Spare,1,,,,,,,
Local rate,135,6,135629,135632,Spare,4,,,,,,,
Local rate,135,6,135634,135637,Spare,4,,,,,,,
Local rate,135,6,135639,135643,Spare,5,,,,,,,
Local rate,135,6,135645,135645,Spare,1,,,,,,,
Local rate,135,6,135647,135661,Spare,15,,,,,,,
Local rate,135,6,135664,135664,Spare,1,,,,,,,
Local rate,135,6,135666,135666,Spare,1,,,,,,,
Local rate,135,6,135668,135682,Spare,15,,,,,,,
Local rate,135,6,135684,135686,Spare,3,,,,,,,
Local rate,135,6,135689,135691,Spare,3,,,,,,,
Local rate,135,6,135693,135694,Spare,2,,,,,,,
Local rate,135,6,135696,135696,Spare,1,,,,,,,
Local rate,135,6,135698,135698,Spare,1,,,,,,,
Local rate,135,6,135702,135709,Spare,8,,,,,,,
Local rate,135,6,135712,135712,Spare,1,,,,,,,
Local rate,135,6,135714,135715,Spare,2,,,,,,,
Local rate,135,6,135717,135719,Spare,3,,,,,,,
Local rate,135,6,135724,135724,Spare,1,,,,,,,
Local rate,135,6,135726,135726,Spare,1,,,,,,,
Local rate,135,6,135729,135730,Spare,2,,,,,,,
Local rate,135,6,135732,135741,Spare,10,,,,,,,
Local rate,135,6,135743,135763,Spare,21,,,,,,,
Local rate,135,6,135765,135767,Spare,3,,,,,,,
Local rate,135,6,135769,135776,Spare,8,,,,,,,
Local rate,135,6,135778,135793,Spare,16,,,,,,,
Local rate,135,6,135795,135813,Spare,19,,,,,,,
Local rate,135,6,135815,135822,Spare,8,,,,,,,
Local rate,135,6,135824,135824,Spare,1,,,,,,,
Local rate,135,6,135826,135826,Spare,1,,,,,,,
Local rate,135,6,135828,135833,Spare,6,,,,,,,
Local rate,135,6,135835,135835,Spare,1,,,,,,,
Local rate,135,6,135837,135841,Spare,5,,,,,,,
Local rate,135,6,135843,135861,Spare,19,,,,,,,
Local rate,135,6,135863,135863,Spare,1,,,,,,,
Local rate,135,6,135867,135868,Spare,2,,,,,,,
Local rate,135,6,135870,135872,Spare,3,,,,,,,
Local rate,135,6,135874,135877,Spare,4,,,,,,,
Local rate,135,6,135879,135883,Spare,5,,,,,,,
Local rate,135,6,135885,135887,Spare,3,,,,,,,
Local rate,135,6,135889,135891,Spare,3,,,,,,,
Local rate,135,6,135893,135936,Spare,44,,,,,,,
Local rate,135,6,135938,135940,Spare,3,,,,,,,
Local rate,135,6,135942,135947,Spare,6,,,,,,,
Local rate,135,6,135949,135949,Spare,1,,,,,,,
Local rate,135,6,135951,135961,Spare,11,,,,,,,
Local rate,135,6,135963,135976,Spare,14,,,,,,,
Local rate,135,6,135978,135990,Spare,13,,,,,,,
Local rate,135,6,135992,135995,Spare,4,,,,,,,
Local rate,135,6,135997,135999,Spare,3,,,,,,,
Local rate,136,6,136002,136002,Spare,1,,,,,,,
Local rate,136,6,136004,136006,Spare,3,,,,,,,
Local rate,136,6,136008,136009,Spare,2,,,,,,,
Local rate,136,6,136011,136017,Spare,7,,,,,,,
Local rate,136,6,136019,136032,Spare,14,,,,,,,
Local rate,136,6,136034,136035,Spare,2,,,,,,,
Local rate,136,6,136037,136037,Spare,1,,,,,,,
Local rate,136,6,136040,136042,Spare,3,,,,,,,
Local rate,136,6,136044,136044,Spare,1,,,,,,,
Local rate,136,6,136046,136046,Spare,1,,,,,,,
Local rate,136,6,136048,136049,Spare,2,,,,,,,
Local rate,136,6,136051,136099,Spare,49,,,,,,,
Local rate,136,6,136101,136108,Spare,8,,,,,,,
Local rate,136,6,136110,136111,Spare,2,,,,,,,
Local rate,136,6,136113,136114,Spare,2,,,,,,,
Local rate,136,6,136117,136120,Spare,4,,,,,,,
Local rate,136,6,136122,136122,Spare,1,,,,,,,
Local rate,136,6,136124,136129,Spare,6,,,,,,,
Local rate,136,6,136131,136134,Spare,4,,,,,,,
Local rate,136,6,136138,136138,Spare,1,,,,,,,
Local rate,136,6,136140,136149,Spare,10,,,,,,,
Local rate,136,6,136151,136161,Spare,11,,,,,,,
Local rate,136,6,136163,136172,Spare,10,,,,,,,
Local rate,136,6,136174,136177,Spare,4,,,,,,,
Local rate,136,6,136179,136179,Spare,1,,,,,,,
Local rate,136,6,136181,136185,Spare,5,,,,,,,
Local rate,136,6,136187,136190,Spare,4,,,,,,,
Local rate,136,6,136192,136194,Spare,3,,,,,,,
Local rate,136,6,136197,136198,Spare,2,,,,,,,
Local rate,136,6,136201,136210,Spare,10,,,,,,,
Local rate,136,6,136212,136212,Spare,1,,,,,,,
Local rate,136,6,136214,136223,Spare,10,,,,,,,
Local rate,136,6,136226,136226,Spare,1,,,,,,,
Local rate,136,6,136228,136232,Spare,5,,,,,,,
Local rate,136,6,136234,136239,Spare,6,,,,,,,
Local rate,136,6,136241,136242,Spare,2,,,,,,,
Local rate,136,6,136247,136249,Spare,3,,,,,,,
Local rate,136,6,136251,136256,Spare,6,,,,,,,
Local rate,136,6,136258,136259,Spare,2,,,,,,,
Local rate,136,6,136261,136261,Spare,1,,,,,,,
Local rate,136,6,136264,136265,Spare,2,,,,,,,
Local rate,136,6,136269,136272,Spare,4,,,,,,,
Local rate,136,6,136276,136277,Spare,2,,,,,,,
Local rate,136,6,136279,136281,Spare,3,,,,,,,
Local rate,136,6,136284,136286,Spare,3,,,,,,,
Local rate,136,6,136288,136288,Spare,1,,,,,,,
Local rate,136,6,136290,136292,Spare,3,,,,,,,
Local rate,136,6,136295,136299,Spare,5,,,,,,,
Local rate,136,6,136301,136301,Spare,1,,,,,,,
Local rate,136,6,136303,136305,Spare,3,,,,,,,
Local rate,136,6,136308,136312,Spare,5,,,,,,,
Local rate,136,6,136314,136323,Spare,10,,,,,,,
Local rate,136,6,136327,136327,Spare,1,,,,,,,
Local rate,136,6,136329,136332,Spare,4,,,,,,,
Local rate,136,6,136335,136341,Spare,7,,,,,,,
Local rate,136,6,136343,136343,Spare,1,,,,,,,
Local rate,136,6,136345,136346,Spare,2,,,,,,,
Local rate,136,6,136349,136351,Spare,3,,,,,,,
Local rate,136,6,136353,136355,Spare,3,,,,,,,
Local rate,136,6,136357,136358,Spare,2,,,,,,,
Local rate,136,6,136360,136360,Spare,1,,,,,,,
Local rate,136,6,136363,136365,Spare,3,,,,,,,
Local rate,136,6,136367,136367,Spare,1,,,,,,,
Local rate,136,6,136369,136371,Spare,3,,,,,,,
Local rate,136,6,136374,136376,Spare,3,,,,,,,
Local rate,136,6,136378,136381,Spare,4,,,,,,,
Local rate,136,6,136383,136386,Spare,4,,,,,,,
Local rate,136,6,136388,136390,Spare,3,,,,,,,
Local rate,136,6,136394,136395,Spare,2,,,,,,,
Local rate,136,6,136399,136411,Spare,13,,,,,,,
Local rate,136,6,136413,136421,Spare,9,,,,,,,
Local rate,136,6,136424,136426,Spare,3,,,,,,,
Local rate,136,6,136429,136431,Spare,3,,,,,,,
Local rate,136,6,136433,136433,Spare,1,,,,,,,
Local rate,136,6,136436,136442,Spare,7,,,,,,,
Local rate,136,6,136444,136452,Spare,9,,,,,,,
Local rate,136,6,136454,136454,Spare,1,,,,,,,
Local rate,136,6,136458,136461,Spare,4,,,,,,,
Local rate,136,6,136465,136468,Spare,4,,,,,,,
Local rate,136,6,136470,136472,Spare,3,,,,,,,
Local rate,136,6,136474,136476,Spare,3,,,,,,,
Local rate,136,6,136479,136486,Spare,8,,,,,,,
Local rate,136,6,136488,136499,Spare,12,,,,,,,
Local rate,136,6,136501,136521,Spare,21,,,,,,,
Local rate,136,6,136523,136524,Spare,2,,,,,,,
Local rate,136,6,136526,136533,Spare,8,,,,,,,
Local rate,136,6,136535,136551,Spare,17,,,,,,,
Local rate,136,6,136553,136568,Spare,16,,,,,,,
Local rate,136,6,136570,136621,Spare,52,,,,,,,
Local rate,136,6,136626,136628,Spare,3,,,,,,,
Local rate,136,6,136630,136631,Spare,2,,,,,,,
Local rate,136,6,136634,136645,Spare,12,,,,,,,
Local rate,136,6,136647,136651,Spare,5,,,,,,,
Local rate,136,6,136653,136653,Spare,1,,,,,,,
Local rate,136,6,136655,136655,Spare,1,,,,,,,
Local rate,136,6,136657,136661,Spare,5,,,,,,,
Local rate,136,6,136664,136665,Spare,2,,,,,,,
Local rate,136,6,136668,136672,Spare,5,,,,,,,
Local rate,136,6,136675,136677,Spare,3,,,,,,,
Local rate,136,6,136679,136681,Spare,3,,,,,,,
Local rate,136,6,136685,136685,Spare,1,,,,,,,
Local rate,136,6,136687,136688,Spare,2,,,,,,,
Local rate,136,6,136690,136698,Spare,9,,,,,,,
Local rate,136,6,136702,136706,Spare,5,,,,,,,
Local rate,136,6,136708,136716,Spare,9,,,,,,,
Local rate,136,6,136718,136724,Spare,7,,,,,,,
Local rate,136,6,136726,136732,Spare,7,,,,,,,
Local rate,136,6,136734,136735,Spare,2,,,,,,,
Local rate,136,6,136738,136741,Spare,4,,,,,,,
Local rate,136,6,136743,136743,Spare,1,,,,,,,
Local rate,136,6,136745,136756,Spare,12,,,,,,,
Local rate,136,6,136758,136761,Spare,4,,,,,,,
Local rate,136,6,136763,136765,Spare,3,,,,,,,
Local rate,136,6,136767,136775,Spare,9,,,,,,,
Local rate,136,6,136777,136788,Spare,12,,,,,,,
Local rate,136,6,136790,136799,Spare,10,,,,,,,
Local rate,136,6,136801,136828,Spare,28,,,,,,,
Local rate,136,6,136830,136835,Spare,6,,,,,,,
Local rate,136,6,136837,136837,Spare,1,,,,,,,
Local rate,136,6,136839,136841,Spare,3,,,,,,,
Local rate,136,6,136843,136846,Spare,4,,,,,,,
Local rate,136,6,136848,136857,Spare,10,,,,,,,
Local rate,136,6,136859,136868,Spare,10,,,,,,,
Local rate,136,6,136870,136873,Spare,4,,,,,,,
Local rate,136,6,136875,136876,Spare,2,,,,,,,
Local rate,136,6,136878,136878,Spare,1,,,,,,,
Local rate,136,6,136880,136881,Spare,2,,,,,,,
Local rate,136,6,136884,136887,Spare,4,,,,,,,
Local rate,136,6,136889,136897,Spare,9,,,,,,,
Local rate,136,6,136899,136912,Spare,14,,,,,,,
Local rate,136,6,136914,136921,Spare,8,,,,,,,
Local rate,136,6,136923,136923,Spare,1,,,,,,,
Local rate,136,6,136927,136931,Spare,5,,,,,,,
Local rate,136,6,136934,136936,Spare,3,,,,,,,
Local rate,136,6,136939,136942,Spare,4,,,,,,,
Local rate,136,6,136944,136946,Spare,3,,,,,,,
Local rate,136,6,136948,136955,Spare,8,,,,,,,
Local rate,136,6,136957,136961,Spare,5,,,,,,,
Local rate,136,6,136964,136971,Spare,8,,,,,,,
Local rate,136,6,136974,136975,Spare,2,,,,,,,
Local rate,136,6,136977,136977,Spare,1,,,,,,,
Local rate,136,6,136979,136979,Spare,1,,,,,,,
Local rate,136,6,136981,136981,Spare,1,,,,,,,
Local rate,136,6,136983,136986,Spare,4,,,,,,,
Local rate,136,6,136988,136991,Spare,4,,,,,,,
Local rate,136,6,136993,136999,Spare,7,,,,,,,
Local rate,137,6,137006,137007,Spare,2,,,,,,,
Local rate,137,6,137012,137019,Spare,8,,,,,,,
Local rate,137,6,137021,137027,Spare,7,,,,,,,
Local rate,137,6,137029,137029,Spare,1,,,,,,,
Local rate,137,6,137031,137032,Spare,2,,,,,,,
Local rate,137,6,137034,137036,Spare,3,,,,,,,
Local rate,137,6,137038,137039,Spare,2,,,,,,,
Local rate,137,6,137041,137043,Spare,3,,,,,,,
Local rate,137,6,137045,137054,Spare,10,,,,,,,
Local rate,137,6,137056,137059,Spare,4,,,,,,,
Local rate,137,6,137061,137065,Spare,5,,,,,,,
Local rate,137,6,137068,137068,Spare,1,,,,,,,
Local rate,137,6,137070,137070,Spare,1,,,,,,,
Local rate,137,6,137072,137075,Spare,4,,,,,,,
Local rate,137,6,137077,137078,Spare,2,,,,,,,
Local rate,137,6,137081,137089,Spare,9,,,,,,,
Local rate,137,6,137091,137103,Spare,13,,,,,,,
Local rate,137,6,137105,137106,Spare,2,,,,,,,
Local rate,137,6,137108,137126,Spare,19,,,,,,,
Local rate,137,6,137128,137136,Spare,9,,,,,,,
Local rate,137,6,137139,137173,Spare,35,,,,,,,
Local rate,137,6,137176,137192,Spare,17,,,,,,,
Local rate,137,6,137194,137199,Spare,6,,,,,,,
Local rate,137,6,137201,137201,Spare,1,,,,,,,
Local rate,137,6,137203,137221,Spare,19,,,,,,,
Local rate,137,6,137223,137223,Spare,1,,,,,,,
Local rate,137,6,137229,137232,Spare,4,,,,,,,
Local rate,137,6,137234,137234,Spare,1,,,,,,,
Local rate,137,6,137236,137236,Spare,1,,,,,,,
Local rate,137,6,137239,137242,Spare,4,,,,,,,
Local rate,137,6,137244,137245,Spare,2,,,,,,,
Local rate,137,6,137249,137252,Spare,4,,,,,,,
Local rate,137,6,137254,137255,Spare,2,,,,,,,
Local rate,137,6,137259,137261,Spare,3,,,,,,,
Local rate,137,6,137265,137266,Spare,2,,,,,,,
Local rate,137,6,137268,137271,Spare,4,,,,,,,
Local rate,137,6,137274,137274,Spare,1,,,,,,,
Local rate,137,6,137277,137277,Spare,1,,,,,,,
Local rate,137,6,137279,137279,Spare,1,,,,,,,
Local rate,137,6,137281,137281,Spare,1,,,,,,,
Local rate,137,6,137285,137285,Spare,1,,,,,,,
Local rate,137,6,137287,137291,Spare,5,,,,,,,
Local rate,137,6,137293,137299,Spare,7,,,,,,,
Local rate,137,6,137301,137311,Spare,11,,,,,,,
Local rate,137,6,137313,137321,Spare,9,,,,,,,
Local rate,137,6,137324,137324,Spare,1,,,,,,,
Local rate,137,6,137327,137327,Spare,1,,,,,,,
Local rate,137,6,137330,137332,Spare,3,,,,,,,
Local rate,137,6,137337,137337,Spare,1,,,,,,,
Local rate,137,6,137339,137341,Spare,3,,,,,,,
Local rate,137,6,137344,137345,Spare,2,,,,,,,
Local rate,137,6,137347,137350,Spare,4,,,,,,,
Local rate,137,6,137357,137362,Spare,6,,,,,,,
Local rate,137,6,137365,137365,Spare,1,,,,,,,
Local rate,137,6,137369,137369,Spare,1,,,,,,,
Local rate,137,6,137371,137371,Spare,1,,,,,,,
Local rate,137,6,137374,137374,Spare,1,,,,,,,
Local rate,137,6,137379,137381,Spare,3,,,,,,,
Local rate,137,6,137383,137383,Spare,1,,,,,,,
Local rate,137,6,137386,137386,Spare,1,,,,,,,
Local rate,137,6,137389,137391,Spare,3,,,,,,,
Local rate,137,6,137393,137398,Spare,6,,,,,,,
Local rate,137,6,137400,137421,Spare,22,,,,,,,
Local rate,137,6,137428,137432,Spare,5,,,,,,,
Local rate,137,6,137434,137434,Spare,1,,,,,,,
Local rate,137,6,137436,137438,Spare,3,,,,,,,
Local rate,137,6,137440,137441,Spare,2,,,,,,,
Local rate,137,6,137443,137445,Spare,3,,,,,,,
Local rate,137,6,137448,137452,Spare,5,,,,,,,
Local rate,137,6,137454,137457,Spare,4,,,,,,,
Local rate,137,6,137459,137464,Spare,6,,,,,,,
Local rate,137,6,137467,137467,Spare,1,,,,,,,
Local rate,137,6,137470,137471,Spare,2,,,,,,,
Local rate,137,6,137474,137474,Spare,1,,,,,,,
Local rate,137,6,137476,137477,Spare,2,,,,,,,
Local rate,137,6,137479,137481,Spare,3,,,,,,,
Local rate,137,6,137484,137488,Spare,5,,,,,,,
Local rate,137,6,137490,137496,Spare,7,,,,,,,
Local rate,137,6,137501,137525,Spare,25,,,,,,,
Local rate,137,6,137529,137532,Spare,4,,,,,,,
Local rate,137,6,137534,137535,Spare,2,,,,,,,
Local rate,137,6,137537,137543,Spare,7,,,,,,,
Local rate,137,6,137548,137562,Spare,15,,,,,,,
Local rate,137,6,137564,137585,Spare,22,,,,,,,
Local rate,137,6,137588,137598,Spare,11,,,,,,,
Local rate,137,6,137600,137622,Spare,23,,,,,,,
Local rate,137,6,137628,137631,Spare,4,,,,,,,
Local rate,137,6,137633,137633,Spare,1,,,,,,,
Local rate,137,6,137635,137644,Spare,10,,,,,,,
Local rate,137,6,137647,137647,Spare,1,,,,,,,
Local rate,137,6,137649,137651,Spare,3,,,,,,,
Local rate,137,6,137655,137658,Spare,4,,,,,,,
Local rate,137,6,137660,137660,Spare,1,,,,,,,
Local rate,137,6,137664,137664,Spare,1,,,,,,,
Local rate,137,6,137667,137668,Spare,2,,,,,,,
Local rate,137,6,137670,137672,Spare,3,,,,,,,
Local rate,137,6,137674,137674,Spare,1,,,,,,,
Local rate,137,6,137676,137676,Spare,1,,,,,,,
Local rate,137,6,137679,137691,Spare,13,,,,,,,
Local rate,137,6,137694,137706,Spare,13,,,,,,,
Local rate,137,6,137708,137712,Spare,5,,,,,,,
Local rate,137,6,137714,137721,Spare,8,,,,,,,
Local rate,137,6,137723,137725,Spare,3,,,,,,,
